dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,RH1
2025-06-01 00:00:00,-2.167028438218225,0.1289425717251592,3.678482176710289,-12.557466441165964,-0.7366666,-0.2133333,282.2967,359.6067,12.81,59.81
2025-06-01 00:30:00,-2.1611161121262046,0.26935615358712656,7.684672633592528,-22.69001550690992,-0.8099999,-0.09333333,281.3933,364.96,13.09,59.45
2025-06-01 01:00:00,-1.2150564170711016,0.2783886071339881,7.941834427600575,-21.401741521051783,-0.7966666,-0.03,279.3733,367.1967,12.94,60.42
2025-06-01 01:30:00,-0.9628746281477473,0.08156502302233148,2.3291922839331853,-12.20014098399418,-0.7866666,-0.1166667,275.8333,352.87,11.19,67.08
2025-06-01 02:00:00,-1.9738623668915638,0.023791024331193254,0.6796804790928129,-9.391177184422425,-0.8799999,-0.2,275.9467,351.9133,10.78,68.71
2025-06-01 02:30:00,-4.341527625010106,0.019344323391298306,0.5530577328428461,-13.102079664385245,-0.7566667,-0.05666666,271.04,346.6933,8.61,80.8
2025-06-01 03:00:00,-6.709192883128647,0.014897622451403355,0.4264349865928793,-16.812982144348066,-0.7566667,-0.2266666,271.9333,348.42,9.9,76.13
2025-06-01 03:30:00,-9.07685814124719,0.1404200184482133,4.018378964847855,-20.523884624310885,-0.9966666,-0.04,270.6333,358.7533,9.75,81.1
2025-06-01 04:00:00,-3.085896919211694,0.24613656654169164,7.048760383264784,-12.77489547240564,-0.76,0.1266667,268.85,352.16,8.87,82.8
2025-06-01 04:30:00,-2.14367181930044,0.10267910827916846,2.941229613301392,-9.38239274410307,6.263333,1.673333,268.8033,347.8333,8.61,83.8
2025-06-01 05:00:00,-2.8316729247664747,0.0721921996386482,2.0684372873125763,-3.3977873441962787,37.39667,8.13,267.6033,346.2933,7.921,86.5
2025-06-01 05:30:00,-3.5196740302325096,0.041705290998127954,1.1956449613237603,-9.15710369465715,102.2133,28.39333,268.81,355.8767,8.57,85.7
2025-06-01 06:00:00,-0.8191605783481251,0.6926608415199089,19.85198086740876,4.386108373623492,174.8,49.34666,269.1467,364.07,9.22,81.2
2025-06-01 06:30:00,1.3464997542188937,1.317472246115996,37.731087415549055,12.480430321848216,263.9034,73.71667,270.3533,373.27,10.18,75.55
2025-06-01 07:00:00,3.512160086785912,2.0213524573695034,57.851813192372816,33.85115080473605,347.3567,95.12,274.1433,381.8466,11.03,68.79
2025-06-01 07:30:00,5.71394793022482,2.231729657860796,63.83901935546205,62.75061186266324,434.1633,115.1933,277.6867,393.4433,12.13,68.81
2025-06-01 08:00:00,7.43071963760985,2.4306730863815615,69.47637109132806,90.70676888967475,526.15,136.7067,278.5333,401.8466,13.14,63.92
2025-06-01 08:30:00,6.0482376182725925,2.922409137467947,83.4605475418296,94.15376373577917,585.3333,148.8933,283.3967,410.4133,13.54,60.31
2025-06-01 09:00:00,6.251987920991432,3.1828027499778417,90.79779500543219,74.6601640550312,662.9933,163.76,286.26,418.5533,14.63,54.25
2025-06-01 09:30:00,6.794029244996096,2.815024884636351,80.24825981075142,116.39236787677314,743.5867,176.52,291.3,430.5467,15.94,53.02
2025-06-01 10:00:00,10.876704648152337,4.874457347855678,138.79341549512986,133.11920910455754,816.8766,188.3667,293.4867,438.7833,16.5,48.92
2025-06-01 10:30:00,8.945903130831322,4.163604528226787,118.48516916629563,161.8199911426342,846.29,191.66,298.25,444.6533,17.5,47.86
2025-06-01 11:00:00,11.269707285504063,5.669320927979418,161.19140349066515,186.29981174046287,866.9633,191.8633,302.5033,451.15,18.33,45.55
2025-06-01 11:30:00,13.01546751911512,5.292458679889781,150.33443284827206,212.27456397207507,892.7632,195.6033,305.8933,459.9833,19.15,42.55
2025-06-01 12:00:00,10.486312352186788,6.10225947044893,173.21330711489824,178.45478602580397,912.46,197.9833,306.48,461.0333,19.71,35.4
2025-06-01 12:30:00,9.52350432193592,4.84178864611366,137.38417495147672,176.10262742612034,898.8133,194.2833,307.53,462.9633,20.01,32.85
2025-06-01 13:00:00,14.888857230765897,8.213510969604487,232.87285617046925,194.73280193296873,896.6633,193.32,309.42,470.4933,21.45,33.77
2025-06-01 13:30:00,9.679935842422378,6.591036337384697,186.8214028763043,177.84907030828757,858.3233,187.27,310.5033,469.4333,21.41,32.1
2025-06-01 14:00:00,8.442480603014111,5.5293631544000466,156.69045788144132,177.32495789170488,801.7433,178.8333,310.0433,464.7333,21.16,30.13
2025-06-01 14:30:00,8.462444752233525,5.028541502875907,142.4728730548307,148.96554543158285,746.8733,170.43,310.3067,462.57,21.49,29.46
2025-06-01 15:00:00,9.665466608124342,5.517906518782329,156.28128788676582,118.5262903710858,682.9866,160.9533,311.4133,455.5033,22.09,29.03
2025-06-01 15:30:00,7.956355899534215,4.7836802379630825,135.41600568532624,104.28133523992076,619.9733,149.9267,318.6233,457.2933,23.28,27.85
2025-06-01 16:00:00,5.7203486681840365,3.3372577983055765,94.49402954981174,38.92365871958671,431.94,106.5867,319.4933,442.5433,21.89,30.27
2025-06-01 16:30:00,3.394739989578469,3.0330332498403454,85.8705271895937,59.702627142638,192.1667,43.37,316.0,426.4833,21.83,26.82
2025-06-01 17:00:00,0.40956400510566743,1.2254942932587654,34.69873868706218,18.19912280506558,223.9567,56.12333,309.6167,426.81,22.39,27.34
2025-06-01 17:30:00,1.368832282730666,1.3288547717934707,37.621687052964205,8.587421540674166,192.31,47.19333,309.19,424.3933,22.7,28.68
2025-06-01 18:00:00,0.526736831293922,1.1760951324652087,33.298604503283535,2.9314792738053037,127.97,29.98,306.4033,414.1267,21.94,31.38
2025-06-01 18:30:00,0.5956808691130148,0.7291696233619746,20.655620362675126,-8.118024323523889,79.81,18.44,302.4666,403.9433,21.01,41.01
2025-06-01 19:00:00,0.6646249069321075,-0.17247381431973133,-4.8916664110660655,2.1085924794522737,30.65,6.883333,298.4467,390.4366,18.55,51.97
2025-06-01 19:30:00,-0.15072844538749788,0.15293255433174838,4.343397004505181,1.8829404799217482,3.786667,1.016667,295.8333,380.3567,16.28,57.05
2025-06-01 20:00:00,1.006871977312743,0.19618891530025181,5.579036460075535,1.657288480391223,-0.8133333,-0.06666666,292.2967,372.1967,14.73,61.56
2025-06-01 20:30:00,-0.9004947295091037,0.2394452762687552,6.814675915645889,-3.8586937672831327,-0.53,0.03333333,292.1033,370.0133,14.74,55.27
2025-06-01 21:00:00,-2.8078614363309504,0.2924740189399129,8.324175220944923,-7.608006450604607,-0.5733333,-0.2366667,292.2567,368.7733,14.86,53.62
2025-06-01 21:30:00,-0.07168165307099421,0.16449810393381895,4.681985910950071,-1.3399670706196838,-0.7399999,-0.3033333,293.0833,366.99,14.88,53.55
2025-06-01 22:00:00,-0.2768251372686251,0.036522188927724984,1.0397966009552189,-3.3707734029625227,-0.7833333,-0.2066667,293.14,366.5233,15.09,51.44
2025-06-01 22:30:00,-1.969356074220175,0.3354975180236993,9.555456449348922,-17.03221302125988,-0.9033334,-0.02,290.3833,371.39,14.36,54.95
2025-06-01 23:00:00,-7.993424148906033,0.4487892759356285,12.790482224012694,-36.85192177964204,-0.8366666,0.02333333,288.8933,376.9767,14.04,57.96
2025-06-01 23:30:00,-5.148805543000121,0.42596546446126565,12.145083220799387,-30.707962507205064,-0.9533333,-0.06333333,287.33,371.57,13.46,61.3
2025-06-02 00:00:00,-4.800557855353423,0.4016911768556037,11.457967053384293,-34.70787041405328,-0.9966667,-0.09333333,289.4,372.13,13.11,62.03
2025-06-02 00:30:00,-3.021709652544791,0.29076835387622413,8.295743395242274,-22.61818873972141,-0.8699999,-0.1066667,290.8367,367.7067,12.88,62.53
2025-06-02 01:00:00,-4.023239129491918,0.33992848644733176,9.699166838207107,-23.479107538009455,-0.7966666,0.003333333,290.9533,369.6733,12.83,61.4
2025-06-02 01:30:00,-3.523916043212425,0.23804518419257178,6.7954265977717565,-24.23178452726032,-0.8033333,-0.06333333,290.01,365.6067,12.16,64.01
2025-06-02 02:00:00,-2.47790388654409,0.19732935004835658,5.634243569924034,-17.12357576819554,-0.8699999,-0.1233333,289.49,363.1067,12.06,63.19
2025-06-02 02:30:00,-1.7223433567732187,0.14236163333479987,4.066470713776968,-11.888445896038313,-0.8333333,-0.08666667,288.5567,359.98,11.47,65.44
2025-06-02 03:00:00,-3.160091322499111,0.3750817128167378,10.71353164827114,-24.825758083980315,-0.8166667,-0.03666667,290.44,366.9933,12.07,60.74
2025-06-02 03:30:00,-3.038251242137317,0.47175529977467084,13.474485313406475,-27.98514888825684,-0.7466667,0.02,292.0667,367.0934,11.9,60.95
2025-06-02 04:00:00,-3.681216998350282,0.5956571129235833,17.015479042121584,-33.340905448898894,-0.59,-0.003333333,293.0033,367.2233,11.75,60.96
2025-06-02 04:30:00,-2.215657625916277,0.5205757878618273,14.872678016071834,-25.947416476016404,5.789999,1.516667,292.5333,366.1366,11.59,61.08
2025-06-02 05:00:00,-2.0544378560886876,0.2622314820962075,7.493360571743159,-14.871003534326764,34.02333,7.946667,292.9267,364.0566,11.49,61.77
2025-06-02 05:30:00,-2.0564694980895193,0.48864553023061674,13.95900867885904,-18.849564646213192,88.6,24.17,295.0333,372.7133,12.26,58.71
2025-06-02 06:00:00,-2.089462659357986,1.0795173227965251,30.82138596179267,-17.66156891164578,147.0533,40.82667,298.2733,380.5399,13.16,56.21
2025-06-02 06:30:00,1.1823003448083902,1.6975816409355515,48.43325686717058,-14.912851663613043,190.63,54.13,300.2667,387.1266,14.02,54.25
2025-06-02 07:00:00,4.454063348974766,2.557884878142861,72.92688974412435,13.362986363541872,266.4533,74.25667,303.4666,395.3233,14.85,53.84
2025-06-02 07:30:00,2.6858895016795428,1.8765754044627478,53.460469603903285,21.02850220155152,319.6867,88.57333,307.0033,403.99,15.87,52.24
2025-06-02 08:00:00,5.017089396852318,2.9660498194532168,84.42350568309578,33.521747790901294,397.3,107.5033,309.4833,410.0266,16.63,49.09
2025-06-02 08:30:00,10.14987893240695,3.9809704166355813,113.1939659594584,81.80793139355644,464.81,123.02,314.6566,421.6533,18.26,47.71
2025-06-02 09:00:00,10.110372899613841,4.125470348093905,117.17375427179007,80.6152375280515,572.79,146.1,319.56,434.2,19.4,48.38
2025-06-02 09:30:00,8.025439612983813,3.8874960682313815,110.29547500667536,82.92538342992432,583.4633,144.91,330.68,441.9666,20.56,45.31
2025-06-02 10:00:00,11.299649825480735,5.331006335753498,151.09335460088548,97.55099130688976,635.0267,157.6633,334.9566,447.6933,21.55,44.68
2025-06-02 10:30:00,9.517845276287337,4.962765452296295,140.54601131663145,98.76247610210885,551.5233,133.3233,337.3133,447.4033,22.19,43.85
2025-06-02 11:00:00,10.262365205824702,6.43474172179408,182.0420043975108,115.1016048708172,627.1533,149.23,340.6067,457.5233,23.44,39.69
2025-06-02 11:30:00,13.145778069574563,7.432457843867361,210.0460899927399,98.77180883784233,833.8699,193.8633,344.0867,471.24,24.73,36.02
2025-06-02 12:00:00,9.223339207213938,7.165629104770348,202.24421512251268,206.2592533796472,841.5933,191.0833,346.49,482.9033,25.84,33.16
2025-06-02 12:30:00,9.366771237563691,6.909305440040916,194.855946898058,181.33343957781324,796.8967,179.7267,349.7966,487.6967,26.73,33.74
2025-06-02 13:00:00,3.4544854648767327,3.8711028639626024,109.10761155099831,202.4973308898288,800.7733,181.6267,349.8667,488.1033,26.95,31.12
2025-06-02 13:30:00,9.060840702679265,6.432819504771498,181.2367855918596,160.49931987617057,819.8133,187.37,354.2067,493.6833,27.79,32.22
2025-06-02 14:00:00,8.033568352628905,6.36403802674872,179.2268704070646,118.21572262653862,662.96,152.4,356.2666,488.9567,28.18,33.51
2025-06-02 14:30:00,9.802141914995438,7.383616244951405,207.8678432871172,120.6256669174098,682.5,161.7533,357.62,490.5633,28.66,31.61
2025-06-02 15:00:00,7.946972868813935,6.565504393645004,184.77037941386317,76.65559563341759,563.46,135.0767,359.7467,482.6,28.7,34.67
2025-06-02 15:30:00,3.4818888369915224,3.7517465674608426,105.53542285069602,85.49793030656863,554.6533,137.0967,359.4,485.3866,29.47,32.45
2025-06-02 16:00:00,4.36719948374183,4.847774584395415,136.33897828740905,71.67951352063754,462.3433,116.06,356.84,477.97,29.2,34.04
2025-06-02 16:30:00,1.8102282281175737,3.353063344553702,94.30296757093635,51.309039135172135,368.2766,93.80666,357.3667,472.16,29.21,34.67
2025-06-02 17:00:00,3.1321921696969834,4.5320658037562565,127.47914289886224,10.81064260098486,278.4933,71.47,355.5833,466.3133,28.85,35.65
2025-06-02 17:30:00,0.16893508221410225,2.4424123718667574,68.71661666447164,-0.3431841252161202,172.2467,44.33,354.51,458.78,28.4,37.52
2025-06-02 18:00:00,-1.7354479068214923,1.7201788697321674,48.41660413652844,-26.989185771847552,83.87,20.72333,353.0733,450.6466,27.54,39.86
2025-06-02 18:30:00,-2.7798889575966537,1.0215053975166626,28.775115232218063,-27.598892424189067,87.47333,21.88,355.37,444.0667,26.84,43.38
2025-06-02 19:00:00,-1.9338799964684215,0.670458242195732,18.899147036177656,-22.45555183178337,25.09,6.266666,350.4867,439.3533,25.77,45.8
2025-06-02 19:30:00,-3.640657054487825,0.515211292182794,14.535205533366687,-30.92183786840963,1.16,0.2966667,347.2033,432.1566,24.61,47.64
