"TOA5","agrivoltaics2","CR6","9170","CR6.Std.14.01","CPU:agrivoltaics2_irgason_apogee_v1_1_00.cr6","44109","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_sonic","CO2","H2O","diag_irga","amb_tmpr","amb_press","CO2_sig_strgth","H2O_sig_strgth"
"TS","RN","m/s","m/s","m/s","C","arb","mg/m^3","g/m^3","arb","C","kPa","fraction","fraction"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-04-01 09:30:03.2",49785261,-1.631686,1.902764,0.7529464,6.880536,0,805.9938,4.655007,0,3.606812,99.28522,0.9586876,0.9387721
"2026-04-01 09:30:03.3",49785262,-1.488384,1.913895,0.6375439,6.880931,0,805.8942,4.653319,0,3.606812,99.28591,0.9586701,0.9387659
"2026-04-01 09:30:03.4",49785263,-1.572065,1.771859,0.7988695,6.884868,0,805.908,4.65639,0,3.606812,99.28639,0.9586863,0.9387832
"2026-04-01 09:30:03.5",49785264,-1.243041,1.792001,0.6994414,6.88746,0,805.9011,4.657194,0,3.606812,99.28323,0.9586891,0.9387892
"2026-04-01 09:30:03.6",49785265,-1.154087,1.782832,0.7452725,6.889554,0,805.7755,4.658052,0,3.606812,99.28258,0.9586939,0.9387941
"2026-04-01 09:30:03.7",49785266,-1.140362,1.753252,0.9282289,6.885002,0,805.7978,4.654805,0,3.60672,99.28358,0.9587002,0.9387937
"2026-04-01 09:30:03.8",49785267,-1.214873,1.688223,0.8541148,6.884841,0,805.9059,4.654002,0,3.60672,99.2831,0.9586941,0.9388043
"2026-04-01 09:30:03.9",49785268,-1.41158,1.718851,0.7133158,6.899702,0,805.731,4.657402,0,3.60672,99.28264,0.9587007,0.9387978
"2026-04-01 09:30:04",49785269,-1.56978,1.782933,0.7417669,6.88935,0,805.7632,4.655913,0,3.60672,99.2822,0.9586975,0.9388081
"2026-04-01 09:30:04.1",49785270,-1.356781,1.89172,0.6910975,6.877115,0,805.7538,4.651848,0,3.60672,99.28394,0.958669,0.9387818
"2026-04-01 09:30:04.2",49785271,-1.391877,1.935984,0.6626223,6.871335,0,805.6617,4.660032,0,3.60672,99.28302,0.9586831,0.9388001
"2026-04-01 09:30:04.3",49785272,-1.662262,1.953338,0.7802539,6.876644,0,806.0274,4.65325,0,3.60672,99.28427,0.9586924,0.9387733
"2026-04-01 09:30:04.4",49785273,-1.542428,2.098379,0.7378135,6.86213,0,805.8598,4.658653,0,3.60672,99.28385,0.9587029,0.9387737
"2026-04-01 09:30:04.5",49785274,-1.550949,2.160188,0.2705876,6.878001,0,805.9797,4.659061,0,3.60672,99.2827,0.9586961,0.9387853
"2026-04-01 09:30:04.6",49785275,-1.423381,1.827566,0.3005857,6.904064,0,805.8241,4.656261,0,3.60672,99.284,0.9586667,0.9387769
"2026-04-01 09:30:04.7",49785276,-1.311908,1.480854,0.5477252,6.864151,0,805.9251,4.657543,0,3.607117,99.28355,0.9586627,0.9387618
"2026-04-01 09:30:04.8",49785277,-1.170398,1.509,0.4648831,6.886666,0,805.8452,4.655587,0,3.607117,99.28569,0.9586603,0.9387661
"2026-04-01 09:30:04.9",49785278,-0.9892306,1.404736,0.3826167,6.87652,0,805.9281,4.657397,0,3.607117,99.28496,0.9586883,0.9387988
"2026-04-01 09:30:05",49785279,-1.220455,1.361349,0.2391948,6.879295,0,805.9218,4.649134,0,3.607117,99.2839,0.9587033,0.9387935
"2026-04-01 09:30:05.1",49785280,-1.251005,1.183553,-0.1200663,6.92184,0,805.8168,4.653085,0,3.607117,99.28236,0.9586855,0.9387912
"2026-04-01 09:30:05.2",49785281,-1.748896,0.9415802,-0.2595413,6.87604,0,805.67,4.65416,0,3.607117,99.28212,0.9586904,0.9387932
"2026-04-01 09:30:05.3",49785282,-1.52397,0.9684688,-0.08994,6.897401,0,805.9316,4.663154,0,3.607117,99.28347,0.9586856,0.938798
"2026-04-01 09:30:05.4",49785283,-1.609877,0.8623068,0.24109,6.855882,0,805.9539,4.65459,0,3.607117,99.28349,0.9586926,0.9387734
"2026-04-01 09:30:05.5",49785284,-1.485328,0.7707831,0.7455334,6.884616,0,805.8157,4.663184,0,3.607117,99.28262,0.9586687,0.9388018
"2026-04-01 09:30:05.6",49785285,-1.361228,0.4545276,0.6881159,6.894083,0,806.1136,4.661876,0,3.607117,99.28403,0.9587168,0.9387963
"2026-04-01 09:30:05.7",49785286,-1.506254,1.170962,0.1475373,6.912167,0,805.9467,4.660764,0,3.606476,99.28276,0.9586837,0.9387881
"2026-04-01 09:30:05.8",49785287,-1.355149,1.337865,0.6033712,6.886549,0,806.1594,4.654291,0,3.606476,99.28407,0.9586816,0.9387773
"2026-04-01 09:30:05.9",49785288,-0.9521773,1.619357,0.9373372,6.909993,0,806.0027,4.658144,0,3.606476,99.2837,0.9586738,0.9387689
"2026-04-01 09:30:06",49785289,-1.25649,1.663243,0.5672952,6.880511,0,806.7505,4.678214,0,3.606476,99.28262,0.9586639,0.9387667
"2026-04-01 09:30:06.1",49785290,-1.14763,1.412912,0.3576079,6.89675,0,806.3145,4.665327,0,3.606476,99.28125,0.9586775,0.938766
"2026-04-01 09:30:06.2",49785291,-1.049699,1.590889,0.2427765,6.881657,0,806.2434,4.664749,0,3.606476,99.28275,0.9586809,0.9387766
"2026-04-01 09:30:06.3",49785292,-0.9977916,1.431119,0.1574442,6.884489,0,806.0511,4.660833,0,3.606476,99.28259,0.9586422,0.9387586
"2026-04-01 09:30:06.4",49785293,-0.9322951,1.269845,0.1935458,6.888018,0,806.155,4.660533,0,3.606476,99.28265,0.9586428,0.938781
"2026-04-01 09:30:06.5",49785294,-1.096747,1.393175,-0.0322084,6.89749,0,806.2133,4.660859,0,3.606476,99.28442,0.9586569,0.9387701
"2026-04-01 09:30:06.6",49785295,-0.7518365,1.91598,-0.3364302,6.900277,0,806.3954,4.659385,0,3.606476,99.28358,0.958682,0.9387653
"2026-04-01 09:30:06.7",49785296,-1.19945,1.885332,-0.2447112,6.872264,0,806.4128,4.657895,0,3.606537,99.28286,0.9586571,0.9387601
