station,valid,drct
JVL,2025-01-01 00:45,320.00
MSN,2025-01-01 00:53,320.00
RYV,2025-01-01 00:55,300.00
EFT,2025-01-01 00:55,320.00
JVL,2025-01-01 01:45,330.00
MSN,2025-01-01 01:53,310.00
RYV,2025-01-01 01:55,300.00
EFT,2025-01-01 01:55,300.00
JVL,2025-01-01 02:45,310.00
MSN,2025-01-01 02:53,320.00
RYV,2025-01-01 02:55,300.00
EFT,2025-01-01 02:55,310.00
JVL,2025-01-01 03:50,280.00
MSN,2025-01-01 03:53,290.00
EFT,2025-01-01 03:55,310.00
RYV,2025-01-01 03:55,300.00
JVL,2025-01-01 04:50,290.00
MSN,2025-01-01 04:53,300.00
RYV,2025-01-01 04:55,280.00
EFT,2025-01-01 04:55,300.00
JVL,2025-01-01 05:50,280.00
MSN,2025-01-01 05:53,300.00
RYV,2025-01-01 05:55,280.00
EFT,2025-01-01 05:55,300.00
JVL,2025-01-01 06:50,280.00
MSN,2025-01-01 06:53,300.00
EFT,2025-01-01 06:55,290.00
RYV,2025-01-01 06:55,300.00
JVL,2025-01-01 07:50,280.00
MSN,2025-01-01 07:53,300.00
RYV,2025-01-01 07:55,290.00
EFT,2025-01-01 07:55,290.00
JVL,2025-01-01 08:50,280.00
MSN,2025-01-01 08:53,300.00
RYV,2025-01-01 08:55,270.00
EFT,2025-01-01 08:55,290.00
JVL,2025-01-01 09:50,290.00
MSN,2025-01-01 09:53,null
RYV,2025-01-01 09:55,300.00
EFT,2025-01-01 09:55,270.00
JVL,2025-01-01 10:50,270.00
MSN,2025-01-01 10:53,320.00
RYV,2025-01-01 10:55,300.00
EFT,2025-01-01 10:55,280.00
JVL,2025-01-01 11:45,290.00
MSN,2025-01-01 11:53,null
RYV,2025-01-01 11:55,290.00
EFT,2025-01-01 11:55,290.00
JVL,2025-01-01 12:45,300.00
MSN,2025-01-01 12:53,null
RYV,2025-01-01 12:55,300.00
EFT,2025-01-01 12:55,280.00
JVL,2025-01-01 13:45,280.00
MSN,2025-01-01 13:53,280.00
RYV,2025-01-01 13:55,300.00
EFT,2025-01-01 13:55,290.00
JVL,2025-01-01 14:45,280.00
MSN,2025-01-01 14:53,300.00
EFT,2025-01-01 14:55,290.00
RYV,2025-01-01 14:55,280.00
JVL,2025-01-01 15:45,270.00
MSN,2025-01-01 15:53,280.00
RYV,2025-01-01 15:55,300.00
EFT,2025-01-01 15:55,280.00
JVL,2025-01-01 16:45,270.00
MSN,2025-01-01 16:53,290.00
RYV,2025-01-01 16:55,280.00
EFT,2025-01-01 16:55,280.00
JVL,2025-01-01 17:45,290.00
MSN,2025-01-01 17:53,290.00
EFT,2025-01-01 17:55,280.00
RYV,2025-01-01 17:55,280.00
JVL,2025-01-01 18:45,290.00
MSN,2025-01-01 18:53,270.00
EFT,2025-01-01 18:55,270.00
RYV,2025-01-01 18:55,280.00
JVL,2025-01-01 19:45,290.00
MSN,2025-01-01 19:53,290.00
RYV,2025-01-01 19:55,270.00
EFT,2025-01-01 19:55,280.00
JVL,2025-01-01 20:45,290.00
MSN,2025-01-01 20:53,290.00
RYV,2025-01-01 20:55,270.00
EFT,2025-01-01 20:55,290.00
JVL,2025-01-01 21:45,280.00
MSN,2025-01-01 21:53,290.00
RYV,2025-01-01 21:55,270.00
EFT,2025-01-01 21:55,290.00
JVL,2025-01-01 22:45,290.00
MSN,2025-01-01 22:53,280.00
RYV,2025-01-01 22:55,280.00
EFT,2025-01-01 22:55,280.00
JVL,2025-01-01 23:45,280.00
MSN,2025-01-01 23:53,290.00
EFT,2025-01-01 23:55,290.00
RYV,2025-01-01 23:55,280.00
JVL,2025-01-02 00:45,280.00
MSN,2025-01-02 00:53,290.00
RYV,2025-01-02 00:55,280.00
EFT,2025-01-02 00:55,290.00
JVL,2025-01-02 01:45,300.00
MSN,2025-01-02 01:53,280.00
EFT,2025-01-02 01:55,300.00
RYV,2025-01-02 01:55,290.00
JVL,2025-01-02 02:45,300.00
MSN,2025-01-02 02:53,300.00
EFT,2025-01-02 02:55,290.00
RYV,2025-01-02 02:55,290.00
JVL,2025-01-02 03:50,280.00
MSN,2025-01-02 03:53,300.00
RYV,2025-01-02 03:55,310.00
EFT,2025-01-02 03:55,290.00
JVL,2025-01-02 04:50,270.00
MSN,2025-01-02 04:53,290.00
EFT,2025-01-02 04:55,300.00
RYV,2025-01-02 04:55,290.00
JVL,2025-01-02 05:50,280.00
MSN,2025-01-02 05:53,290.00
RYV,2025-01-02 05:55,280.00
EFT,2025-01-02 05:55,300.00
JVL,2025-01-02 06:50,270.00
MSN,2025-01-02 06:53,300.00
RYV,2025-01-02 06:55,290.00
EFT,2025-01-02 06:55,290.00
JVL,2025-01-02 07:50,270.00
MSN,2025-01-02 07:53,300.00
EFT,2025-01-02 07:55,290.00
RYV,2025-01-02 07:55,280.00
JVL,2025-01-02 08:50,270.00
MSN,2025-01-02 08:53,290.00
RYV,2025-01-02 08:55,280.00
EFT,2025-01-02 08:55,280.00
JVL,2025-01-02 09:50,340.00
MSN,2025-01-02 09:53,290.00
EFT,2025-01-02 09:55,280.00
RYV,2025-01-02 09:55,290.00
JVL,2025-01-02 10:50,280.00
MSN,2025-01-02 10:53,0.00
RYV,2025-01-02 10:55,310.00
EFT,2025-01-02 10:55,280.00
JVL,2025-01-02 11:45,290.00
MSN,2025-01-02 11:53,0.00
RYV,2025-01-02 11:55,300.00
EFT,2025-01-02 11:55,280.00
JVL,2025-01-02 12:45,290.00
MSN,2025-01-02 12:53,0.00
RYV,2025-01-02 12:55,310.00
EFT,2025-01-02 12:55,260.00
JVL,2025-01-02 13:45,280.00
MSN,2025-01-02 13:53,280.00
RYV,2025-01-02 13:55,290.00
EFT,2025-01-02 13:55,260.00
JVL,2025-01-02 14:45,280.00
MSN,2025-01-02 14:53,300.00
RYV,2025-01-02 14:55,270.00
EFT,2025-01-02 14:55,270.00
JVL,2025-01-02 15:45,290.00
MSN,2025-01-02 15:53,280.00
RYV,2025-01-02 15:55,290.00
EFT,2025-01-02 15:55,290.00
JVL,2025-01-02 16:45,280.00
MSN,2025-01-02 16:53,0.00
RYV,2025-01-02 16:55,270.00
EFT,2025-01-02 16:55,280.00
JVL,2025-01-02 17:45,270.00
MSN,2025-01-02 17:53,null
RYV,2025-01-02 17:55,240.00
EFT,2025-01-02 17:55,260.00
JVL,2025-01-02 18:45,300.00
MSN,2025-01-02 18:53,250.00
RYV,2025-01-02 18:55,260.00
EFT,2025-01-02 18:55,240.00
JVL,2025-01-02 19:45,270.00
MSN,2025-01-02 19:53,null
EFT,2025-01-02 19:55,250.00
RYV,2025-01-02 19:55,250.00
JVL,2025-01-02 20:45,270.00
MSN,2025-01-02 20:53,270.00
EFT,2025-01-02 20:55,260.00
RYV,2025-01-02 20:55,270.00
JVL,2025-01-02 21:45,270.00
MSN,2025-01-02 21:53,300.00
EFT,2025-01-02 21:55,260.00
RYV,2025-01-02 21:55,260.00
JVL,2025-01-02 22:45,270.00
MSN,2025-01-02 22:53,280.00
RYV,2025-01-02 22:55,280.00
EFT,2025-01-02 22:55,270.00
JVL,2025-01-02 23:45,270.00
MSN,2025-01-02 23:53,280.00
RYV,2025-01-02 23:55,260.00
EFT,2025-01-02 23:55,270.00
JVL,2025-01-03 00:45,270.00
MSN,2025-01-03 00:53,300.00
RYV,2025-01-03 00:55,300.00
EFT,2025-01-03 00:55,280.00
JVL,2025-01-03 01:45,270.00
MSN,2025-01-03 01:53,290.00
RYV,2025-01-03 01:55,300.00
EFT,2025-01-03 01:55,280.00
JVL,2025-01-03 02:45,280.00
MSN,2025-01-03 02:53,300.00
EFT,2025-01-03 02:55,290.00
RYV,2025-01-03 02:55,330.00
JVL,2025-01-03 03:50,270.00
MSN,2025-01-03 03:53,0.00
EFT,2025-01-03 03:55,280.00
RYV,2025-01-03 03:55,320.00
JVL,2025-01-03 04:50,270.00
MSN,2025-01-03 04:53,310.00
RYV,2025-01-03 04:55,320.00
EFT,2025-01-03 04:55,280.00
JVL,2025-01-03 05:50,270.00
MSN,2025-01-03 05:53,320.00
RYV,2025-01-03 05:55,310.00
EFT,2025-01-03 05:55,290.00
JVL,2025-01-03 06:50,270.00
MSN,2025-01-03 06:53,340.00
EFT,2025-01-03 06:55,290.00
RYV,2025-01-03 06:55,290.00
JVL,2025-01-03 07:50,280.00
MSN,2025-01-03 07:53,320.00
EFT,2025-01-03 07:55,300.00
RYV,2025-01-03 07:55,310.00
JVL,2025-01-03 08:50,340.00
MSN,2025-01-03 08:53,310.00
RYV,2025-01-03 08:55,310.00
EFT,2025-01-03 08:55,320.00
JVL,2025-01-03 09:50,320.00
MSN,2025-01-03 09:53,320.00
EFT,2025-01-03 09:55,320.00
RYV,2025-01-03 09:55,310.00
JVL,2025-01-03 10:50,290.00
MSN,2025-01-03 10:53,310.00
EFT,2025-01-03 10:55,320.00
RYV,2025-01-03 10:55,300.00
JVL,2025-01-03 11:45,310.00
MSN,2025-01-03 11:53,300.00
EFT,2025-01-03 11:55,300.00
RYV,2025-01-03 11:55,300.00
JVL,2025-01-03 12:45,300.00
MSN,2025-01-03 12:53,300.00
RYV,2025-01-03 12:55,300.00
EFT,2025-01-03 12:55,300.00
JVL,2025-01-03 13:45,300.00
MSN,2025-01-03 13:53,300.00
RYV,2025-01-03 13:55,310.00
EFT,2025-01-03 13:55,290.00
JVL,2025-01-03 14:45,300.00
MSN,2025-01-03 14:53,300.00
EFT,2025-01-03 14:55,300.00
RYV,2025-01-03 14:55,290.00
JVL,2025-01-03 15:45,310.00
MSN,2025-01-03 15:53,310.00
RYV,2025-01-03 15:55,300.00
EFT,2025-01-03 15:55,310.00
JVL,2025-01-03 16:45,320.00
MSN,2025-01-03 16:53,320.00
EFT,2025-01-03 16:55,320.00
RYV,2025-01-03 16:55,310.00
JVL,2025-01-03 17:45,310.00
MSN,2025-01-03 17:53,320.00
RYV,2025-01-03 17:55,300.00
EFT,2025-01-03 17:55,300.00
JVL,2025-01-03 18:45,300.00
MSN,2025-01-03 18:53,330.00
EFT,2025-01-03 18:55,320.00
RYV,2025-01-03 18:55,330.00
JVL,2025-01-03 19:45,310.00
MSN,2025-01-03 19:53,310.00
EFT,2025-01-03 19:55,310.00
RYV,2025-01-03 19:55,290.00
JVL,2025-01-03 20:45,320.00
MSN,2025-01-03 20:53,310.00
EFT,2025-01-03 20:55,300.00
RYV,2025-01-03 20:55,300.00
JVL,2025-01-03 21:45,310.00
MSN,2025-01-03 21:53,310.00
EFT,2025-01-03 21:55,290.00
RYV,2025-01-03 21:55,290.00
JVL,2025-01-03 22:45,300.00
MSN,2025-01-03 22:53,320.00
RYV,2025-01-03 22:55,290.00
